[2026-06-11 03:28:47] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged into Streamlit dashboard
[2026-06-11 03:29:08] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged out of Streamlit dashboard
[2026-06-11 03:29:18] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:20] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:22] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:24] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:25] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials provided
[2026-06-11 03:29:37] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged into Streamlit dashboard
[2026-06-11 03:30:03] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security | NOTE=User logged out of Streamlit dashboard
[2026-06-11 03:30:16] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical | NOTE=User logged into Streamlit dashboard
[2026-06-11 04:50:20] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-11 04:58:38] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-11 05:05:09] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-11 05:06:15] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-11 05:06:29] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:06:40] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:06:55] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:07:08] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:07:24] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP002 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-06-11 05:07:33] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:07:53] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-11 05:08:06] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-11 05:08:15] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-11 05:08:30] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-11 05:08:38] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-11 05:08:51] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-06-11 05:08:58] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-06-11 05:09:13] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-06-11 05:14:28] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-06-11 05:14:43] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-12 13:27:58] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-12 13:30:16] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-06-12 13:30:34] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-12 13:32:59] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP003 | NAME=Clara James | ROLE=Healthcare Staff | DEPARTMENT=Clinical
[2026-06-12 13:33:28] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP002 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-06-12 13:33:44] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-12 13:35:00] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-06-12 13:35:21] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP004 | NAME=David Lee | ROLE=Compliance Officer | DEPARTMENT=Compliance
[2026-07-01 18:26:07] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-08 09:51:43] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-07-08 09:52:37] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP002 | NAME=Brian Smith | ROLE=IT Security | DEPARTMENT=IT
[2026-07-08 09:52:55] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-07-08 09:53:03] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-12 16:28:19] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-13 08:27:11] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 00:38:11] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:03:53] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:04:18] EVENT=LOGOUT | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:04:37] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-07-22 01:04:56] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:06:24] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:07:14] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:14:26] EVENT=LOGIN | STATUS=FAILED | JOB_ID=EMP001 | NAME=Unknown | ROLE=Unknown | DEPARTMENT=Unknown | NOTE=Invalid credentials
[2026-07-22 01:14:38] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:15:33] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:22:53] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:26:52] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:27:43] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:29:42] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:39:22] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:43:16] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
[2026-07-22 01:53:03] EVENT=LOGIN | STATUS=SUCCESS | JOB_ID=EMP001 | NAME=Alice Johnson | ROLE=Admin | DEPARTMENT=Security
